ANNIOS,TOTAL,AMARICADELNORTE,CANADA,ESTADOSUNIDOS,MAXICO,AMARICACENTRAL,BELICE,ELSALVADOR,GUATEMALA,HONDURAS,NICARAGUA,PANAMA,AMARICADELSUR,CARIBE,EUROPA,OTRASZONAS
2013,2427941,1162368,160398,929402,72568,736161,1060,64552,56756,38840,476678,98275,164496,12120,311726,41070
2014,2526817,1245037,172730,997262,75045,716645,818,63214,55677,36957,463959,96020,138138,11632,370482,44883
2015,2660257,1337755,175771,1077044,84940,711404,812,69427,57600,39560,446870,97135,156152 0,12649,393115,49182
2016,2925128,1515880,188104,1233277,94499,724638,869,78273,65063,40478,440038,99917,181179,12549,434884,55998
2017,2959869,1507 945,201921,1199241,106783,735178,970,81091,78032,40300,429990,104795,181399,13381,462295,59671
2018,3016667,1580991,217006,1265067,98918,691386,964,76937,65633,38135,416915,92802,190413,12997,480102,60778
2019,3139008,1666571,234621,1334777,97173,698601,1103,78948,69471,42024,414983,92072,195581,13510,500602,64143
2020,1011912,571010,115632,434775,20603,202374,203,20898,18549,10171,123956,28597,50 237,3247,169949,15095
2021,1347055,958792,53185,868986,36621,78425,274,12300,15638,7436,27634,15143,60221,4452,229813,15352
2022,2349537,1533 502,183678,1290038,59786,194242,517,28173,30991,18733,78473,37355,110852,7457,469643,33841
2023,2751134,1820038,260 744,1473620,85674,235712,782,31849,43075,20505,94083,45418,134399,10062,499519,51404
2024,2919483,1989725,272256,1621340,96129,235860,720,28258,45576,18710,95799,46797,136 466,10628,485725,61079
