ZONAS,JUANSANTAMARAA,DANIELODUBER,TOBIAASBOLAAOS,LIMON,AEREA,TERRESTREYFLUVIAL,MARITIMA,TODASLASVIAS
TOTAL,1779529,881289.0,646.0,24.0,2661488,252010.0,5985.0,2919483
AMERICADELNORTE,1091831,844805.0,290.0,11.0,1936937,49672.0,3116.0,1989725
CANADA,93976,163406.0,13.0,4.714285714285714,257395,14601.0,260.0,272256
ESTADOSUNIDOS,907100,679766.0,263.0,9.0,1587138,31505.0,2697.0,1621340
MEXICO,90755,1633.0,14.0,2.0,92 404,3566.0,159.0,96129
AMERICACENTRAL,103118,602.0,224.0,1.0,103945,131796.0,119.0,235860
BELICE,592,22.0,77.56521739130434,4.714285714285714,614,105.0,1.0,720
ELSALVADOR,22595,158.0,73.0,4.714285714285714,22826,5425.0,7.0,28258
GUATEMALA,42296,110.0,78.0,1.0,42485,3080.0,11.0,45576
HONDURAS,11894,68.0,7.0,4.714285714285714,11969,6739.0,2.0,18710
NICARAGUA,8132,206.0,35.0,4.714285714285714,8373,87405.0,21.0,95799
PANAMA,17609,38.0,31.0,4.714285714285714,17678,29042.0,77.0,46797
AMERICADELSUR,124379,2332.0,52.0,7.0,126770,9567.0,129.0,136466
ARGENTINA,24563,433.0,13.0,4.714285714285714,25009,3715.0,12.0,28736
BOLIVIA,1655,25.0,77.56521739130434,4.714285714285714,1680,112.0,438.9310344827586,1792
BRASIL,19323,773.0,5.0,1.0,20102,1359.0,23.0,21484
CHILE,17091,282.0,1.0,3.0,17377,1958.0,5.0,19340
COLOMBIA,30 184,324.0,21.0,2.0,30531,815.0,15.0,31361
ECUADOR,6431,96.0,2.0,4.714285714285714,6529,159.0,28.0,6716
GUYANA,232,62.0,77.56521739130434,4.714285714285714,294,27.0,1.0,322
GUYANAFRANCESA,,1.0,77.56521739130434,4.714285714285714,1,19834.8125,438.9310344827586,1
PARAGUAY,924,7.0,3.0,4.714285714285714,934,47.0,1.0,982
PERU,14778,180.0,6.0,4.714285714285714,14964,869.0,19.0,15852
SURINAM,107,73671.0,77.56521739130434,4.714285714285714,107,19834.8125,438.9310344827586,107
URUGUAY,4106,50.0,1.0,4.714285714285714,4157,306.0,2.0,4 465
VENEZUELA,4 985,99.0,77.56521739130434,1.0,5085,200.0,23.0,5308
CARIBE,9439,859.0,3.0,2.0,10303,317.0,8.0,10628
BAHAMAS,441,48.0,77.56521739130434,1.0,490,16.0,438.9310344827586,506
BERMUDA,57,7.0,77.56521739130434,4.714285714285714,64,19834.8125,438.9310344827586,64
CUBA,1034,120.0,77.56521739130434,4.714285714285714,1154,41.0,1.0,1196
HAITI,351,83.0,77.56521739130434,4.714285714285714,434,12.0,438.9310344827586,446
JAMAICA,832,183.0,2.0,1.0,1018,36.0,3.0,1057
PUERTORICO1,2,1.0,77.56521739130434,4.714285714285714,3,19834.8125,438.9310344827586,3
REPUBLICADOMINICANA,5200,159.0,1.0,4.714285714285714,5360,134.0,2.0,5496
TRINIDADYTOBAGO,882,138.0,77.56521739130434,4.714285714285714,1 020,44.0,1.0,1065
OTROSCARIBE,640,120.0,77.56521739130434,4.714285714285714,760,34.0,1.0,795
