Zonas,JuanSantamaría,DanielOduber,TobíasBolaños,Limón,AÉREA,TerrestreyFluvial,Maritima,TodasLasVias
TOTAL,1779529,881289,646,24,2661488,252010,5985,2919483
AMÉRICADELNORTE,1091831,844805,290,11,1936937,49672,3116,1989725
Canadá,93976,163406,13,,257395,14601,260,272256
EstadosUnidos,907100,679766,263,9,1587138,31505,2697,1621340
México,90755,1633,14,2,92 404,3566,159,96129
AMÉRICACENTRAL,103118,602,224,1,103945,131796,119,235860
Belice,592,22,,,614,105,1,720
ElSalvador,22595,158,73,,22826,5425,7,28258
Guatemala,42296,110,78,1,42485,3080,11,45576
Honduras,11894,68,7,,11969,6739,2,18710
Nicaragua,8132,206,35,,8373,87405,21,95799
Panamá,17609,38,31,,17678,29042,77,46797
AMÉRICADELSUR,124379,2332,52,7,126770,9567,129,136466
Argentina,24563,433,13,,25009,3715,12,28736
Bolivia,1655,25,,,1680,112,,1792
Brasil,19323,773,5,1,20102,1359,23,21484
Chile,17091,282,1,3,17377,1958,5,19340
Colombia,30 184,324,21,2,30531,815,15,31361
Ecuador,6431,96,2,,6529,159,28,6716
Guyana,232,62,,,294,27,1,322
GuyanaFrancesa,,1,,,1,,,1
Paraguay,924,7,3,,934,47,1,982
Perú,14778,180,6,,14964,869,19,15852
Surinam,107,,,,107,,,107
Uruguay,4106,50,1,,4157,306,2,4 465
Venezuela,4 985,99,,1,5085,200,23,5308
CARIBE,9439,859,3,2,10303,317,8,10628
Bahamas,441,48,,1,490,16,,506
Bermuda,57,7,,,64,,,64
Cuba,1034,120,,,1154,41,1,1196
Haití,351,83,,,434,12,,446
Jamaica,832,183,2,1,1018,36,3,1057
PuertoRico^{1},2,1,,,3,,,3
RepúblicaDominicana,5200,159,1,,5360,134,2,5496
TrinidadyTobago,882,138,,,1 020,44,1,1065
OtrosCaribe,640,120,,,760,34,1,795
